"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
Reid J. Epstein,New York Times,,,,,,,@reidepstein
Elwely Elwelly,Arizona Republic,,,,,,,@elwelicherif
Yeganeh Torbati,New York Times,,,,,,,@yjtorbati
Berber Jin,Wall Street Journal,,,,,,,@berber_jin1
Alex Leary,Wall Street Journal,,,,,,,@learyreports
David J. Lynch,Washington Post +1,,,,,,,@davidjlynch
Hannah Knowles,Washington Post,,,,,,,@KnowlesHannah
Henry Savage,Philadelphia Inquirer,,,,,,,@MediaByHenry
John Ismay,New York Times +2,,,,,,,@johnismay
Jazmine Ulloa,New York Times,,,,,,,@jazmineulloa
Maddie Hanna,Philadelphia Inquirer,,,,,,,@maddiehanna
Rolfe Winkler,Wall Street Journal,,,,,,,@RolfeWinkler
Ana Swanson,New York Times +2,,,,,,,@AnaSwanson
Alexander Saeedy,Wall Street Journal,,,,,,,@ajsaeedy
Adam Schreck,Tampa Bay Times +1,,,,,,,@adamschreck
Aidan Ryan,Boston Globe,,,,,,,@AidanRyanNH
Lydia Depillis,New York Times +1,,,,,,,@lydiadepillis
Ted Hesson,Washington Post,,,,,,,@tedhesson
Arash Massoudi,Financial Times,,,,,,,@ArashMassoudi
Eliza Collins,Wall Street Journal,,,,,,,@elizacollins1
Erika Solomon,New York Times,,,,,,,@ErikaSolomon
Ian James,Los Angeles Times,,,,,,,@ByIanJames
Dave Michaels,Wall Street Journal,,,,,,,@davidamichaels
Anthony R. Wood,Philadelphia Inquirer,,,,,,,@woodt15
Jack O'Connor,Chicago Tribune,,,,,,,@JackOConnor71
Bassem Mroue,Tampa Bay Times +3,,,,,,,@bmroue
David Uberti,Wall Street Journal,,,,,,,@daviduberti
Erica L. Green,New York Times +1,,,,,,,@EricaLG
Yaroslav Trofimov,Wall Street Journal,,,,,,,@yarotrof
Alex Coffey,Philadelphia Inquirer,,,,,,,@byalexcoffey
Mark Berman,Washington Post,,,,,,,@markberman
Samantha Masunaga,Los Angeles Times,,,,,,,@smasunaga
Laurence Darmiento,Los Angeles Times,,,,,,,@ldarmiento
Henry Dyer,The Guardian,,,,,,,@direthoughts
Katie Rogers,New York Times,,,,,,,@katierogers
James Pindell,Boston Globe,,,,,,,@JamesPindell
Katie Rosseinsky,The Independent,,,,,,,@katierosseinsky
Tom Cotterill,Daily Telegraph,,,,,,,@TomCotterillX
Hilary Burns,Boston Globe,,,,,,,@hilarysburns
Alex Horton,Washington Post +1,,,,,,,@AlexHortonTX
Malcolm Moore,Financial Times,,,,,,,@MalcolmMoore
Mike Newall,Philadelphia Inquirer,,,,,,,@MikeNewall
Christina Jewett,New York Times +2,,,,,,,@By_CJewett
Taryn Luna,Los Angeles Times,,,,,,,@TarynLuna
Jonathan O'Connell,Philadelphia Inquirer +1,,,,,,,@jocwapo
Douglas Macmillan,Washington Post,,,,,,,@dmac1
Marcela Rodrigues,Boston Globe,,,,,,,@marcelanotes
David Gambacorta,Philadelphia Inquirer,,,,,,,@dgambacorta
Camilo Fonseca,Boston Globe,,,,,,,@fonseca_esq
Edward Wong,New York Times,,,,,,,@ewong
Katie Mettler,Washington Post +1,,,,,,,@kemettler
Jason Horowitz,New York Times +1,,,,,,,@jasondhorowitz
Athena Stavrou,The Independent,,,,,,,@Athena_Stavrou
Tim Stanley,Daily Telegraph,,,,,,,@timothy_stanley
Dana Mattioli,Wall Street Journal,,,,,,,@DanaMattioli
Chris Palmer,Philadelphia Inquirer,,,,,,,@cs_palmer
Siobhan Hughes,Wall Street Journal,,,,,,,@siobhanehughes
Ken Thomas,Wall Street Journal,,,,,,,@KThomasDC
Matthew Lee,Tampa Bay Times +2,,,,,,,@APDiploWriter
Sarah Blaskey,Washington Post +1,,,,,,,@Blaskey_S
Fiona Parker,Daily Telegraph,,,,,,,@fiona_parker14
Dan Merica,Washington Post,,,,,,,@merica
Cassandra Vinograd,New York Times,,,,,,,@CassVinograd
Sonja Sharp,Los Angeles Times,,,,,,,@sic_sonja
Aaron Zitner,Wall Street Journal,,,,,,,@aaronzitner
Robert Booth,The Guardian,,,,,,,@Robert_Booth
Tim Bradshaw,Financial Times +1,,,,,,,@tim
Jon Chesto,Boston Globe,,,,,,,@jonchesto
Connor Sheets,Los Angeles Times,,,,,,,@ConnorASheets
Adam Rasgon,New York Times,,,,,,,@adamrasgon
Nicholas Fandos,New York Times,,,,,,,@npfandos
Marianne Levine,Wall Street Journal,,,,,,,@marianne_levine
Natalie Neysa Alund,Arizona Republic,,,,,,,@nataliealund
Mike Damiano,Boston Globe,,,,,,,@mjdamiano
Noah Haggerty,Los Angeles Times,,,,,,,@nohaggerty
Matt Oliver,Daily Telegraph +1,,,,,,,@mattotele
Ian Duncan,Washington Post +1,,,,,,,@iduncan
Karen Garcia,Los Angeles Times,,,,,,,@KarenMelissaGa7
Debra Utacia Krol,Arizona Republic,,,,,,,@debkrol
Scooty Nickerson,Boston Globe,,,,,,,@DavidANickerson
Vivian Nereim,New York Times,,,,,,,@viviannereim
Brian J. Rogal,Chicago Tribune,,,,,,,@brianrogal
Emma Taggart,Daily Telegraph,,,,,,,@emmaftaggart
Benjamin Weiser,New York Times,,,,,,,@BenWeiserNYT
Shawn Raymundo,Arizona Republic,,,,,,,@ShawnzyTsunami
Douglas R. Clifford,Tampa Bay Times,,,,,,,@cliftimestweet
Ximena Conde,Philadelphia Inquirer,,,,,,,@XimenaReports
Evan Macdonald,Houston Chronicle,,,,,,,@evanmac3
Amy Gibbons,Daily Telegraph,,,,,,,@tweetsbyames
Corinne Purtill,Los Angeles Times,,,,,,,@corinnepurtill
Jake Blumgart,Philadelphia Inquirer,,,,,,,@jblumgart
Liz Goodwin,Washington Post,,,,,,,@lizcgoodwin
Georgia Wells,Wall Street Journal,,,,,,,@georgia_wells
Suzan Haidamous,Washington Post,,,,,,,@suzanHaidamous
Julie Turkewitz,New York Times,,,,,,,@julieturkewitz
Stephanie Stacey,Financial Times,,,,,,,@stephistacey
Ben Quinn,The Guardian,,,,,,,@BenQuinn75
Ajit Niranjan,The Guardian,,,,,,,@NiranjanAjit
Maria Sacchetti,Washington Post +1,,,,,,,@mariasacchetti
Andrew Gregory,The Guardian,,,,,,,@andrewgregory
Edward Luce,Financial Times,,,,,,,@EdwardGLuce
Lorenzo Tondo,The Guardian,,,,,,,@lorenzo_tondo
Georgi Kantchev,Wall Street Journal,,,,,,,@georgikantchev
Richard Partington,The Guardian,,,,,,,@RJPartington
Helene Cooper,New York Times +1,,,,,,,@helenecooper
Lisa Lerer,New York Times +1,,,,,,,@llerer
James Shotter,Financial Times,,,,,,,@JamesShotter
Lara Jakes,New York Times,,,,,,,@jakesNYT
Adam Liptak,New York Times,,,,,,,@adamliptak
Nakylah Carter,Tampa Bay Times,,,,,,,@nxkylah
Benoit Morenne,Wall Street Journal,,,,,,,@benmorenne
Federica Cocco,Washington Post,,,,,,,@federicacocco
Nicholas Kulish,New York Times,,,,,,,@nkulish
Rachel Barber,Arizona Republic,,,,,,,@rachelbarber_
Aaron Pressman,Boston Globe,,,,,,,@ampressman
Jessica Toonkel,Wall Street Journal,,,,,,,@jtoonkel
Louise Radnofsky,Wall Street Journal,,,,,,,@louiseradnofsky
Catherine Belton,Washington Post +1,,,,,,,@CatherineBelton
James Fontanella-Khan,Financial Times,,,,,,,@JFK_America
Michelle Boorstein,Washington Post,,,,,,,@mboorstein
George Steer,Financial Times,,,,,,,@georgeasteer
Tobi Thomas,The Guardian,,,,,,,@tobithomas_
Jenny Gross,New York Times,,,,,,,@jggross
Malcolm Gay,Boston Globe,,,,,,,@malcolmgay
Claire Heddles,Tampa Bay Times,,,,,,,@claireheddles
Dana Munro,Philadelphia Inquirer,,,,,,,@danamunro2
Mark Landler,New York Times,,,,,,,@MarkLandler
Robbie Whelan,Wall Street Journal,,,,,,,@RWhelanWSJ
Emily Glazer,Wall Street Journal,,,,,,,@EmilyGlazer
Myles Mccormick,Financial Times,,,,,,,@mylesmccormick_
Omar Abdel-Baqui,Wall Street Journal,,,,,,,@omarabdelb
Christina Goldbaum,New York Times,,,,,,,@cegoldbaum
Maggie Prosser,Philadelphia Inquirer,,,,,,,@ProsserMaggie
Katelyn Ferral,Tampa Bay Times,,,,,,,@katelynferral
Beth Teitell,Boston Globe,,,,,,,@BethTeitell
Collin Eaton,Wall Street Journal,,,,,,,@CollinEatonHC
Aaron Boxerman,New York Times +2,,,,,,,@aboxerman1
George Hammond,Financial Times,,,,,,,@GeorgeNHammond
Praveena Somasundaram,Washington Post,,,,,,,@praveenasoma
Claire Thornton,Boston Globe,,,,,,,@claire_thornto
Ramsay Hodgson,Financial Times,,,,,,,@ramshodgson
Maegan Vazquez,Washington Post,,,,,,,@maeganvaz
Andrew Carter,Chicago Tribune,,,,,,,@_andrewcarter
Daniel Boffey,The Guardian,,,,,,,@danielboffey
Cybele Mayes-Osterman,Arizona Republic,,,,,,,@CybeleMO
Gerrit De Vynck,Washington Post,,,,,,,@GerritD
Jason Nark,Philadelphia Inquirer,,,,,,,@jasonnark
Patrick Galbraith,Daily Telegraph,,,,,,,@PaddyGalbraith
Thomas Grove,Wall Street Journal,,,,,,,@tggrove
Lisa Falkenberg,Houston Chronicle,,,,,,,@ChronFalkenberg
Michael D. Shear,New York Times,,,,,,,@shearm
Ben Noll,Washington Post,,,,,,,@BenNollWeather
Lauren Albano,Boston Globe,,,,,,,@LaurenAlbano_
Declan Walsh,New York Times,,,,,,,@declanwalsh
Brian Spegele,Wall Street Journal,,,,,,,@BrianSpegele
Micah Maidenberg,Wall Street Journal,,,,,,,@MicahMaidenberg
Bill Barrow,Chicago Tribune,,,,,,,@BillBarrowAP
Sam Goldfarb,Wall Street Journal,,,,,,,@sam_gold22
Josh Noble,Financial Times,,,,,,,@JoshTANoble
Abdi Latif Dahir,New York Times,,,,,,,@Lattif
Hannah Erin Lang,Wall Street Journal,,,,,,,@hannaherinlang
Luis Ferré-Sadurní,New York Times,,,,,,,@luisferre
Tarini Parti,Wall Street Journal,,,,,,,@tparti
Mary Ilyushina,Washington Post,,,,,,,@maryilyushina
Sam Fleming,Financial Times,,,,,,,@Sam1Fleming
Chris Cook,Financial Times,,,,,,,@xtophercook
Neri Zilber,Financial Times,,,,,,,@NeriZilber
Mark Sherman,Houston Chronicle,,,,,,,@shermancourt
Anat Peled,Wall Street Journal,,,,,,,@AnatPeled1
James C. Reynolds,The Independent,,,,,,,@JimReynoldsUK
Dan Milmo,The Guardian,,,,,,,@DanMilmo
Liz Teitz,Houston Chronicle,,,,,,,@LizTeitz
Jack Dolan,Los Angeles Times,,,,,,,@jackdolanLAT
Anatoly Kurmanaev,New York Times,,,,,,,@AKurmanaev
Yamil Berard,Houston Chronicle,,,,,,,@yberard
Edward White,Financial Times,,,,,,,@edwardwhitenz
Anissa Gardizy,Wall Street Journal,,,,,,,@anissagardizy8
Jason Burke,The Guardian,,,,,,,@burke_jason
Paul Lewis,The Guardian,,,,,,,@paullewis
Cecilia Sánchez Vidal,Los Angeles Times,,,,,,,@cecysanv
Melissa Gomez,Los Angeles Times,,,,,,,@MelissaGomez004
Andrew Seidman,Philadelphia Inquirer,,,,,,,@AndrewSeidman
Nate File,Philadelphia Inquirer,,,,,,,@Nate_file
Liam Scott,Washington Post,,,,,,,@liamjscott
Casey Parks,Washington Post,,,,,,,@caseyparks
Christa Lawler,Minneapolis Star Tribune +1,,,,,,,@ChristaLawler
Kaye Wiggins,Financial Times,,,,,,,@kayewiggins
Aubrey Whelan,Philadelphia Inquirer,,,,,,,@aubreyjwhelan
Peter Rudegeair,Wall Street Journal,,,,,,,@rudegeair
Harriet Clarfelt,Financial Times,,,,,,,@HClarfelt
Madeline King,Chicago Tribune,,,,,,,@madelineking_18
Benedict Smith,Daily Telegraph,,,,,,,@bsmithjourno
Steff Chavez,Financial Times,,,,,,,@SteffChav
Erin Mansfield,Arizona Republic,,,,,,,@_erinmansfield
Christopher Vondracek,Minnesota Star Tribune,,,,,,,@ChrisVondracek
Sarah Gantz,Philadelphia Inquirer,,,,,,,@SarahGantz
Clara Ence Morse,Washington Post,,,,,,,@ccemorse
Oliver Barnes,Financial Times,,,,,,,@mroliverbarnes
Olaf Storbeck,Financial Times,,,,,,,@OlafStorbeck
Nick Vadala,Philadelphia Inquirer,,,,,,,@njvadala
Chelsia Rose Marcius,New York Times,,,,,,,@chelsiamarcius
Laura Meckler,Washington Post +1,,,,,,,@laurameckler
Chloe Johnson,Minneapolis Star Tribune +1,,,,,,,@_chloeaj
Ian Hodgson,Financial Times,,,,,,,@IanJHodgson
Dylan Mcguinness,Houston Chronicle,,,,,,,@dylmcguinness
Joshua Franklin,Financial Times,,,,,,,@FTJFranklin
Cameron Henderson,Daily Telegraph,,,,,,,@CamHenderson98
Tony Briscoe,Los Angeles Times,,,,,,,@_TonyBriscoe
Catherine Porter,New York Times,,,,,,,@porterthereport
Ruby Cline,Daily Telegraph,,,,,,,@RubyClinee
Priya Bharadia,The Guardian,,,,,,,@priya_bharadia
Lucy Fisher,Financial Times,,,,,,,@LOS_Fisher
Lisa Mascaro,Philadelphia Inquirer +1,,,,,,,@LisaMascaro
Robert Jimison,New York Times,,,,,,,@RobertJimison
Sam Schechner,Wall Street Journal,,,,,,,@samschech
Annamaria Andriotis,Wall Street Journal,,,,,,,@AAndriotis
Peggy O'Hare,Houston Chronicle,,,,,,,@Peggy_OHare
Tom Morgan,Daily Telegraph,,,,,,,@Tom_Morgs
Miguel Delaney,The Independent,,,,,,,@MiguelDelaney
Amelia Nierenberg,New York Times +2,,,,,,,@AJNierenberg
Michael Biesecker,Philadelphia Inquirer +1,,,,,,,@mbieseck
Maureen Groppe,Arizona Republic,,,,,,,@mgroppe
Gregory S. Schneider,Washington Post,,,,,,,@schneiderG
Anthony Lonetree,Minneapolis Star Tribune +1,,,,,,,@StribLonetree
Olivia George,Washington Post,,,,,,,@oliviacgeorge
Carolyn Y. Johnson,Washington Post +1,,,,,,,@Carolynyjohnson
Sharon Terlep,Wall Street Journal,,,,,,,@sharonterlep
Kayla Yup,Philadelphia Inquirer,,,,,,,@KelaYub
Katie Glueck,New York Times,,,,,,,@katieglueck
Patricia Cohen,New York Times +1,,,,,,,@PatcohenNYT
Tonya Alanez,Boston Globe,,,,,,,@talanez
Melody Gutierrez,Los Angeles Times,,,,,,,@MelodyGutierrez
Dan Haygarth,The Independent,,,,,,,@DanHaygarth1
Olivia Petter,The Independent,,,,,,,@oliviapetter1
Noah Eastwood,Daily Telegraph,,,,,,,@NoahEastwood9
Gerry Shih,Washington Post,,,,,,,@gerryshih
Chris Blackhurst,The Independent,,,,,,,@c_blackhurst
Kat Lay,The Guardian,,,,,,,@katlay
Demetri Sevastopulo,Financial Times,,,,,,,@DimiSevastopulo
Jeff Hargarten,Minnesota Star Tribune,,,,,,,@jeffhargarten
Meryl Kornfield,Washington Post,,,,,,,@MerylKornfield
Katherine Blunt,Wall Street Journal,,,,,,,@katherineblunt
Jonathan Vincent,Financial Times,,,,,,,@J_Vincent_Viz
Aysha Bagchi,Arizona Republic,,,,,,,@AyshaBagchi
Sam Jones,The Guardian,,,,,,,@swajones
Susan Svrluga,Washington Post,,,,,,,@SusanSvrluga
Ashifa Kassam,The Guardian,,,,,,,@ashifa_k
Theodore Schleifer,New York Times,,,,,,,@teddyschleifer
Jenny Gathright,Washington Post,,,,,,,@jennygathright
Peter Warren,Houston Chronicle,,,,,,,@thepeterwarren
Gideon Rachman,Financial Times,,,,,,,@gideonrachman
Cristina Criddle,Financial Times,,,,,,,@CristinaCriddle
Mike Corder,Minnesota Star Tribune,,,,,,,@mikecorder
Lydia Spencer-Elliott,The Independent,,,,,,,@LSPENCERELLIOTT
Justin Ballard,Houston Chronicle,,,,,,,@JustinBallardWx
Raya Jalabi,Financial Times,,,,,,,@rayajalabi
Alene Tchekmedyian,Los Angeles Times,,,,,,,@AleneTchek
John Lippert,Chicago Tribune,,,,,,,@johnmlippert
Rebekah F. Ward,Houston Chronicle,,,,,,,@RebekahFWard
Kevin Baxter,Los Angeles Times,,,,,,,@kbaxter11
Maliya Ellis,Houston Chronicle,,,,,,,@EllisMaliya
Gaby Hinsliff,The Guardian,,,,,,,@gabyhinsliff
Laura Turbay,Chicago Tribune,,,,,,,@laura_turbay
James Rainey,Los Angeles Times,,,,,,,@RaineyTime
Jamie Smyth,Financial Times,,,,,,,@JamieSmythF
Mark Katches,Tampa Bay Times,,,,,,,@markkatches
Rory Carroll,The Guardian,,,,,,,@rorycarroll72
Sarah Lapidus,Arizona Republic,,,,,,,@lapidus_sarah
Arjun Neil Alim,Financial Times,,,,,,,@Arjunneilalim
Mike Morris,Houston Chronicle,,,,,,,@mmorris011
Kim Hyatt,Minneapolis Star Tribune +1,,,,,,,@kimvhyatt
Emily Cochrane,New York Times,,,,,,,@ESCochrane
Rosa Cartagena,Philadelphia Inquirer,,,,,,,@_RosaCartagena
Also tracked (recently added - unranked),,,,,,,,
Ronen Bergman,,,,,,,,
Eva Herscowitz,,,,,,,,
Sheryl Gay Stolberg,,,,,,,,
Eleanor Hildebrandt,,,,,,,,
Lauren Peace,,,,,,,,
Melanie Lidman,,,,,,,,
Ben Finley,,,,,,,,
Tony Plohetski,,,,,,,,
Emily Davies,,,,,,,,
Lauren Weber,,,,,,,,
Camilla Tominey,,,,,,,,
