"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
Jeff Gammage,Philadelphia Inquirer,,,,,,,@JeffGammage
Sam Brodey,Boston Globe,,,,,,,@sambrodey
Abby Church,Houston Chronicle,,,,,,,@abbschurch
Joey Garrison,Arizona Republic,,,,,,,@joeygarrison
Robert Mccoppin,Chicago Tribune,,,,,,,@RobertMcCoppin
Ryan W. Briggs,Philadelphia Inquirer,,,,,,,@rw_briggs
Romy Ellenbogen,Tampa Bay Times,,,,,,,@romyellenbogen
Tara Copp,Washington Post +1,,,,,,,@TaraCopp
Sam Charles,Chicago Tribune,,,,,,,@samjcharles
David Zahniser,Los Angeles Times,,,,,,,@DavidZahniser
Nicole Nixon,Los Angeles Times,,,,,,,@_Nixo
John Hudson,Washington Post +1,,,,,,,@John_Hudson
Natalie Allison,Washington Post +1,,,,,,,@natalie_allison
Nick Gutteridge,Daily Telegraph +1,,,,,,,@nickgutteridge
Ronald J. Hansen,Arizona Republic,,,,,,,@ronaldjhansen
Andrew England,Financial Times,,,,,,,@cornishft
Max Chesnes,Tampa Bay Times,,,,,,,@MaxChesnes
Juan Carlos Chavez,Tampa Bay Times,,,,,,,@ChavezReporter
David E. Sanger,New York Times +3,,,,,,,@SangerNYT
Seema Mehta,Los Angeles Times,,,,,,,@LATSeema
Paul Heintz,Boston Globe,,,,,,,@paulheintz
Michael Levenson,New York Times,,,,,,,@mlevenson
Sammy Westfall,Washington Post +1,,,,,,,@sammy_westfall
Eric Schmitt,New York Times +3,,,,,,,@EricSchmittNYT
Allison Kiehl,Chicago Tribune,,,,,,,@Allison_Kiehl
Isaac Arnsdorf,Washington Post,,,,,,,@iarnsdorf
Jack Prator,Tampa Bay Times,,,,,,,@jack_prator
Rowena Mason,The Guardian,,,,,,,@rowenamason
Josh Dawsey,Wall Street Journal,,,,,,,@jdawsey1
Richard Winton,Los Angeles Times,,,,,,,@lacrimes
Sarah Rahal,Boston Globe,,,,,,,@SarahRahal_
Sean Cotter,Boston Globe,,,,,,,@CotterReporter
Dan Lamothe,Washington Post,,,,,,,@DanLamothe
Michelle L. Price,Philadelphia Inquirer +4,,,,,,,@michellelprice
Maggie Haberman,New York Times +2,,,,,,,@maggieNYT
Chris Serres,Boston Globe,,,,,,,@ChrisSerres
Hannah Fry,Los Angeles Times,,,,,,,@hannahfry
Alanna Durkin Richer,Chicago Tribune +4,,,,,,,@aedurkinricher
Talia Soglin,Chicago Tribune,,,,,,,@talia_soglin
Camilla Turner,Sunday Telegraph +1,,,,,,,@camillahmturner
Rong-Gong Lin Ii,Los Angeles Times,,,,,,,@ronlin
Emily L. Mahoney,Tampa Bay Times,,,,,,,@mahoneysthename
Fallon Roth,Philadelphia Inquirer,,,,,,,@fallonroth_
Perry Stein,Washington Post +1,,,,,,,@perrystein
Millie Cooke,The Independent,,,,,,,@Cooke_Millie
Lawrence Mower,Tampa Bay Times +1,,,,,,,@lmower3
Nick Timiraos,Wall Street Journal,,,,,,,@NickTimiraos
Kate Devlin,The Independent,,,,,,,@_katedevlin
Colbi Edmonds,Tampa Bay Times,,,,,,,@colbiedmonds
Connor Stringer,Daily Telegraph,,,,,,,@connor_stringer
Nusaiba Mizan,Houston Chronicle,,,,,,,@nusaiblah
David Maddox,The Independent,,,,,,,@DavidPBMaddox
Lucy Marques,Tampa Bay Times,,,,,,,@lucymarques_
Samantha Ketterer,Houston Chronicle,,,,,,,@sam_kett
Bart Jansen,Arizona Republic,,,,,,,@ganjansen
Jim Puzzanghera,Boston Globe,,,,,,,@JimPuzzanghera
Sadie Gurman,Wall Street Journal,,,,,,,@sgurman
Brooke Hauser,Boston Globe,,,,,,,@brookehauser
Francesca Chambers,Arizona Republic,,,,,,,@fran_chambers
Tony Marrero,Tampa Bay Times,,,,,,,@TMarreroTimes
Glenn Thrush,New York Times +1,,,,,,,@GlennThrush
Samantha J. Gross,Boston Globe,,,,,,,@samanthajgross
Jeffrey S. Solochek,Tampa Bay Times,,,,,,,@jeffsolochek
Liz Sawyer,Minnesota Star Tribune,,,,,,,@ByLizSawyer
Laurence Norman,Wall Street Journal,,,,,,,@laurnorman
Julián Aguilar,Houston Chronicle,,,,,,,@nachoaguilar
John C. Moritz,Houston Chronicle,,,,,,,@JohnnieMo
Danny Mcdonald,Boston Globe,,,,,,,@Danny__McDonald
John Wayne Ferguson,Houston Chronicle,,,,,,,@johnwferguson
Meg James,Los Angeles Times,,,,,,,@megjameslat
Giulia Mcdonnell Nieto Del Rio,Boston Globe,,,,,,,@Giuliamcdnr
Tal Kopan,Boston Globe,,,,,,,@TalKopan
Grace Toohey,Los Angeles Times,,,,,,,@grace_2e
Dan Petrella,Chicago Tribune,,,,,,,@PetrellaReports
Andrea Leinfelder,Houston Chronicle,,,,,,,@a_leinfelder
Jason Laughlin,Boston Globe,,,,,,,@jasmlaughlin
Ellen Nakashima,Washington Post +1,,,,,,,@nakashimae
Spencer Buell,Boston Globe,,,,,,,@SpencerBuell
R.A. Schuetz,Houston Chronicle,,,,,,,@raschuetz
Kristen A. Graham,Philadelphia Inquirer,,,,,,,@newskag
Julian E.J. Sorapuru,Boston Globe,,,,,,,@JulianSorapuru
Eric Tucker,Philadelphia Inquirer +2,,,,,,,@etuckerAP
Marin Wolf,Boston Globe,,,,,,,@marin_wolf
Stacey Barchenger,Arizona Republic,,,,,,,@sbarchenger
Jenny Jarvie,Los Angeles Times,,,,,,,@jennyjarvie
Robert Anglen,Arizona Republic,,,,,,,@robertanglen
David Ulloa Jr,Arizona Republic,,,,,,,@davidulloa_ii
Julian E. Barnes,New York Times +2,,,,,,,@julianbarnes
Warren P. Strobel,Washington Post,,,,,,,@wstrobel
Susan Snyder,Philadelphia Inquirer,,,,,,,@ssnyderinq
Julian Borger,The Guardian,,,,,,,@julianborger
Shauna Muckle,Tampa Bay Times,,,,,,,@MuckleShauna
Elizabeth Sander,Houston Chronicle,,,,,,,@eliz_sander
Karen Deyoung,Washington Post,,,,,,,@karendeyoung1
Sabrina Shankman,Boston Globe,,,,,,,@shankman
Arlyssa D. Becenti,Arizona Republic,,,,,,,@ABecenti
Max Marin,Philadelphia Inquirer,,,,,,,@MaxMMarin
Shelby Holliday,Wall Street Journal,,,,,,,@shelbyholliday
Shane Goldmacher,New York Times +1,,,,,,,@ShaneGoldmacher
Dakota Smith,Los Angeles Times,,,,,,,@dakotacdsmith
Brian Macquarrie,Boston Globe,,,,,,,@GlobeMacQuarrie
Gregory Royal Pratt,Chicago Tribune,,,,,,,@royalpratt
Laura Donnelly,Daily Telegraph,,,,,,,@lauradonnlee
Ben Wieder,Los Angeles Times,,,,,,,@benbwieder
David G. Savage,Los Angeles Times,,,,,,,@davidgsavage
Mariana Alfaro,Washington Post,,,,,,,@marianaa_alfaro
Christiana Freitag,Chicago Tribune,,,,,,,@freitagreports
Konstantin Toropin,Minnesota Star Tribune +5,,,,,,,@KToropin
Kate Selig,Boston Globe,,,,,,,@kate_selig
Theodoric Meyer,Washington Post,,,,,,,@theodoricmeyer
Victoria Craw,Washington Post,,,,,,,@victoria_craw
Chris Van Buskirk,Boston Globe,,,,,,,@byChrisVan
Aamer Madhani,Philadelphia Inquirer +5,,,,,,,@AamerISmad
Szu Ping Chan,Daily Telegraph +1,,,,,,,@szupingc
Hayley Smith,Los Angeles Times,,,,,,,@whereishayley
Shi En Kim,Arizona Republic,,,,,,,@goes_by_kim
Jessie Van Berkel,Minnesota Star Tribune,,,,,,,@jessvanb
Annie Linskey,Wall Street Journal,,,,,,,@AnnieLinskey
Howard Blume,Los Angeles Times,,,,,,,@howardblume
Shelley Murphy,Boston Globe,,,,,,,@shelleymurph
Ashley Soebroto,Houston Chronicle,,,,,,,@ashsoebroto
Jana Hollingsworth,Minnesota Star Tribune,,,,,,,@jhollingsworths
Nathaniel Minor,Minnesota Star Tribune,,,,,,,@nbminor
Josh Boak,Minnesota Star Tribune +4,,,,,,,@joshboak
Farnaz Fassihi,New York Times +1,,,,,,,@farnazfassihi
Megan Menchaca,Houston Chronicle,,,,,,,@meganmmenchaca
Jeremy Olson,Minnesota Star Tribune,,,,,,,@StribJO
Alex Wigglesworth,Los Angeles Times,,,,,,,@phila_lex
Amy-Clare Martin,The Independent,,,,,,,@amyclaremartin
Sam Metz,Tampa Bay Times +5,,,,,,,@metzsam
Amrith Ramkumar,Wall Street Journal,,,,,,,@AmrithRamkumar
Susan Du,Minnesota Star Tribune,,,,,,,@shijundu
Robbie Gramer,Wall Street Journal,,,,,,,@RobbieGramer
Jillian Kramer,Philadelphia Inquirer,,,,,,,@jilliankramer
Devlin Barrett,New York Times +2,,,,,,,@DevlinBarrett
Ray Stern,Arizona Republic,,,,,,,@raystern
Tess Kenny,Chicago Tribune,,,,,,,@tesskenny12
Hamed Aleaziz,New York Times +1,,,,,,,@Haleaziz
Lior Soroka,Washington Post +1,,,,,,,@liorsoroka
Najmeh Bozorgmehr,Financial Times,,,,,,,@Najmeh_Tehran
Claire Jones,Financial Times,,,,,,,@senoj_erialc
Divya Kumar,Tampa Bay Times,,,,,,,@divyadivyadivya
Isaac Yu,Houston Chronicle,,,,,,,@isaacyu_
Patrick Marley,Washington Post +1,,,,,,,@patrickdmarley
Diti Kohli,Boston Globe,,,,,,,@ditikohli_
Rachel Chason,Washington Post +1,,,,,,,@Rachel_Chason
Will Weissert,Philadelphia Inquirer +5,,,,,,,@WillWeissert
Lisa Schencker,Chicago Tribune,,,,,,,@lschencker
Madeline Buckley,Chicago Tribune,,,,,,,@Mabuckley88
Thomas Fuller,New York Times,,,,,,,@thomasfullerNYT
Nicole Hensley,Houston Chronicle,,,,,,,@nkhensley
Mohamad El Chamaa,Washington Post,,,,,,,@MohamdEch
Michael Silverman,Boston Globe,,,,,,,@MikeSilvermanBB
Libor Jany,Los Angeles Times,,,,,,,@liborjany
Janet Eastham,Daily Telegraph +1,,,,,,,@JanetEastham
Alexa Gagosz,Boston Globe,,,,,,,@alexagagosz
Justin Jouvenal,Washington Post +1,,,,,,,@jjouvenal
James Osborne,Houston Chronicle,,,,,,,@osborneja
Christopher Snowbeck,Minnesota Star Tribune,,,,,,,@chrissnowbeck
Bryan Hecht,Boston Globe,,,,,,,@bryanjhecht
Elena Becatoros,Minnesota Star Tribune +5,,,,,,,@ElenaBec
Barbara Laker,Philadelphia Inquirer,,,,,,,@barbaralaker
Jonathan Swan,New York Times +1,,,,,,,@jonathanvswan
Kate Perez,Chicago Tribune,,,,,,,@katecperez_
Garrett Shanley,Tampa Bay Times,,,,,,,@garrettshanley
Euan Ward,New York Times,,,,,,,@euanward_
Abraham Gutman,Philadelphia Inquirer,,,,,,,@abrahamgutman
Robert Channick,Chicago Tribune,,,,,,,@RobertChannick
Rajeev Syal,The Guardian,,,,,,,@syalrajeev
C. Ryan Barber,Wall Street Journal,,,,,,,@cryanbarber
Niki Griswold,Boston Globe,,,,,,,@nikigriswold
Richard Ruelas,Arizona Republic,,,,,,,@ruelaswrites
Dustin Volz,New York Times +2,,,,,,,@dnvolz
Munir Ahmed,Chicago Tribune +4,,,,,,,@munirahmedap
Brian Schwartz,Wall Street Journal,,,,,,,@schwartzbWSJ
Michelle Baruchman,Philadelphia Inquirer,,,,,,,@mlbaruchman
Angie Leventis Lourgos,Chicago Tribune,,,,,,,@angie_leventis
Zac Anderson,Arizona Republic,,,,,,,@zacjanderson
Lindsay Wise,Wall Street Journal,,,,,,,@lindsaywise
Travis Andersen,Boston Globe,,,,,,,@TAGlobe
Richard Rubin,Wall Street Journal,,,,,,,@RichardRubinDC
Anton Troianovski,New York Times +1,,,,,,,@antontroian
Sam González Kelly,Houston Chronicle,,,,,,,@sgonzalezkelly
Adriana Pérez,Chicago Tribune,,,,,,,@adrianamperezr
John Hilliard,Boston Globe,,,,,,,@Draillih
Blanca Begert,Los Angeles Times,,,,,,,@BlancaBegert
Gabrielle Calise,Tampa Bay Times,,,,,,,@gabriellecalise
Nick Stoico,Boston Globe,,,,,,,@NickStoico
Ellen Francis,Washington Post +1,,,,,,,@ellen_fra
Ruben Vives,Los Angeles Times,,,,,,,@LATvives
Audrey Pachuta,Chicago Tribune,,,,,,,@audreypachuta
Bill Lukitsch,Minnesota Star Tribune,,,,,,,@lukitsbill
William Bender,Philadelphia Inquirer,,,,,,,@wbender99
Patrick Wintour,The Guardian,,,,,,,@patrickwintour
Michael Searles,Daily Telegraph,,,,,,,@michaelsearles_
Jarrell Dillard,Washington Post +1,,,,,,,@JarrellTDillard
Vera Bergengruen,Wall Street Journal,,,,,,,@VeraMBergen
Rebecca Ellis,Los Angeles Times,,,,,,,@Rjaellis
Joe Barnes,Daily Telegraph,,,,,,,@Barnes_Joe
Scott Clement,Washington Post,,,,,,,@sfcpoll
Salvador Hernandez,Los Angeles Times,,,,,,,@salhernandez
Queenie Wong,Los Angeles Times,,,,,,,@QWongSJ
Taylor Seely,Arizona Republic,,,,,,,@taylorseely95
Jaweed Kaleem,Los Angeles Times,,,,,,,@jaweedkaleem
Jonathan Saltzman,Boston Globe,,,,,,,@saltzmanglobe
Adam Taylor,Washington Post,,,,,,,@mradamtaylor
Ian Smith,Financial Times,,,,,,,@iankmsmith
Kelly Garrity,Boston Globe,,,,,,,@kellygarrity3
Tim Wallace,Daily Telegraph +1,,,,,,,@Tim_Wallace
Matt Grossman,Wall Street Journal,,,,,,,@mattgrossman
Stephanie Innes,Arizona Republic,,,,,,,@stephanieinnes
Emily Spatz,Boston Globe,,,,,,,@emilymspatz
Lauren Fedor,Financial Times,,,,,,,@laurenfedor
Vikram Dodd,The Guardian,,,,,,,@VikramDodd
