outlet,tiktok handle,platform,media_type,usable (human review),profile_type,notes
Press-Republican,,online_news,print_native,,outlet,
pewstates.org,,online_news,,,,
rttnews,,online_news,digital_native,,outlet,
TheRealNews.com,,online_news,digital_native,,outlet,
buy.barrons.com,,online_news,,,outlet,
Parade,,online_news,print_native,,outlet,
openx.ncronline.org,,online_news,,,outlet,
NBC Breaking News,,online_news,digital_native,,,
Market Watch,,online_news,,,outlet,
scientificamerican.com,,online_news,,,outlet,
monstersandcritics,,online_news,digital_native,,outlet,
abcnews.go.com,,online_news,,,outlet,
zdnet.com,,online_news,,,outlet,
HonululuAdvertiser,,online_news,print_native,,outlet,
wired.com,,online_news,,,outlet,
bloomberg.com,,online_news,,,outlet,
Engadget,,online_news,,,outlet,
ibtimes.com,,online_news,,,outlet,
sentinelsource.com,,online_news,print_native,,outlet,
theconversation.com,,online_news,,,outlet,
syracuse.com,,online_news,,,outlet,
TMZ.com,,online_news,,,outlet,
AlterNet,,online_news,,,outlet,
News Blaze,,online_news,,,outlet,
MLive.com,,online_news,,,outlet,
Quartz,,online_news,,,outlet,
s.ign.com,,online_news,,,outlet,
s.sbnation.com,,online_news,,,outlet,
AirforceTimes,,online_news,print_native,,outlet,
x.uproxx.com,,online_news,,,outlet,
amp.providencejournal.com,,online_news,,,outlet,
fansided.com,,online_news,,,outlet,
shop.americanfreepress.net,,online_news,,,outlet,
live.polygon.com,,online_news,,,outlet,
cdn29.elitedaily.com,,online_news,,,outlet,
ArmyTimes,,online_news,print_native,,outlet,
NavyTimes,,online_news,print_native,,outlet,
amp.fayobserver.com,,online_news,,,outlet,
Entertainment Weekly,,online_news,print_native,,outlet,
norwichbulletin.com,,online_news,print_native,,outlet,
oregonlive.com,,online_news,,,outlet,
nhgazette.com,,online_news,print_native,,outlet,
pilotonline.com,,online_news,print_native,,outlet,
marinetimes.com,,online_news,print_native,,outlet,
http://www.popmatters.com/feeds/,,online_news,,,outlet,
amp.ledger-enquirer.com,,online_news,,,outlet,
Fusion,,online_news,digital_native,,outlet,
newsy,,online_news,digital_native,,outlet,
indystar.com,,online_news,,,outlet,
Access Hollywood,,online_news,digital_native,,outlet,
x17online.com,,online_news,digital_native,,outlet,
eater.com,,online_news,,,outlet,
files.saturdayeveningpost.com,,online_news,,,outlet,
bustle.com,,online_news,,,outlet,
hudsonvalley360.com,,online_news,,,,
vox.com,,online_news,digital_native,,outlet,
Refinery29,,online_news,,,outlet,
Daily Signal,,online_news,,,outlet,
talkingnewmedia.com,,online_news,digital_native,,outlet,
Inquirer,,online_news,,,outlet,
theverge,,online_news,,,outlet,
MintPress News,,online_news,digital_native,,outlet,
Mic,,online_news,digital_native,,outlet,
The PostGame,,online_news,digital_native,,outlet,
recorder.com,,online_news,print_native,,outlet,
AxcessNews,,online_news,digital_native,,outlet,
One America News Network,,online_news,digital_native,,outlet,
berkshireeagle.com,,online_news,print_native,,outlet,
thrillist.com,,online_news,,,outlet,
Red Herring,,online_news,print_native,,outlet,
axs.com,,online_news,digital_native,,outlet,
247sports.com,,online_news,digital_native,,outlet,
augustachronicle.com,,online_news,,,outlet,
Sporting News - Real Insight. Real Fans. Real Conversations.,,online_news,,,outlet,
Indian Country Today,,online_news,print_native,,outlet,
Cherokee Phoenix,,online_news,,,outlet,
sandiegouniontribune.com,,online_news,print_native,,outlet,
theintercept.com,,online_news,,,outlet,
pbs.org,,online_news,,,outlet,
www.foxsports.com,,online_news,,,outlet,
Scout,,online_news,digital_native,,outlet,
Talk Media News,,online_news,digital_native,,outlet,
Daily Source,,online_news,digital_native,,outlet,
lexisnexis.com,,online_news,,,,
people.com,,online_news,,,outlet,
Polish American Journal,,online_news,print_native,,outlet,
Schwartzreport,,online_news,digital_native,,outlet,
vice.com,,online_news,digital_native,,outlet,
ms.now (msnbc),,online_news,,,outlet,
GQ,,online_news,,,outlet,
Fox Business,,online_news,,,outlet,
Daily Dot,,online_news,,,outlet,
indiancountrynews.com,,online_news,,,outlet,
nationalenquirer.com,,online_news,print_native,,outlet,
The Root,,online_news,,,outlet,
The Denver Post,,online_news,print_native,,outlet,
hollywoodweekly,,online_news,print_native,,outlet,
freep.com,,online_news,print_native,,outlet,
nbcnews.com,,online_news,,,outlet,
theguardian.com,,online_news,print_native,,outlet,
ICT (formerly Indian Country Today),,online_news,,,outlet,
